B1,B2,B3,B4,B5,B6_VCID_2,B7,system:index,STATE,ELEV_IN_FT,POP_2010,id
28,24,20,53,35,195,20,773,MI,876,19220,4500
36,32,33,43,39,203,30,774,MI,889,23973,4501
37,34,33,51,43,203,32,775,MI,840,21369,4502
30,25,20,66,40,200,21,776,MA,92,24747,4522
33,27,25,39,29,194,20,777,MA,154,21437,4524
32,27,24,49,33,196,20,778,MA,105,24932,4526
29,25,23,61,41,197,24,779,NY,722,11230,4566
27,24,17,66,38,197,18,780,IL,768,10198,4638
29,25,21,58,34,198,18,781,NY,846,11446,4657
37,32,30,37,32,200,25,782,NY,873,15174,4658
31,27,25,48,41,202,26,783,NY,840,13392,4664
27,21,16,51,25,190,14,784,MA,118,27003,4672
29,24,20,54,38,196,19,785,MA,174,28886,4673
37,33,33,49,40,204,28,786,MA,128,28602,4674
33,28,27,39,33,193,24,787,MA,217,32112,4675
25,21,15,75,45,195,20,788,MA,36,18165,4737
36,31,28,41,35,200,25,789,MA,20,11092,4766
38,34,33,35,31,199,23,790,CT,548,36383,4770
32,27,25,41,27,194,19,791,CT,312,60477,4772
31,29,27,60,41,201,25,792,CT,30,124775,4773
33,29,27,42,30,199,21,793,CT,167,73206,4774
32,28,26,43,34,201,21,794,CT,272,30577,4778
34,30,27,47,35,202,24,795,CT,79,10389,4824
38,33,32,42,35,201,27,796,CT,56,27620,4827
33,25,22,32,21,193,16,797,CT,20,40493,4828
35,29,28,32,30,192,23,798,CT,10,144229,4836
34,29,27,35,28,190,21,799,CT,397,80893,4837
33,26,23,38,29,193,20,800,CT,43,85603,4839
35,30,28,36,31,202,24,801,CT,43,39559,4840
29,25,22,54,36,196,21,802,CT,13,122643,4841
36,30,30,32,29,201,25,803,CT,52,47648,4844
43,40,40,68,53,201,33,804,CT,49,19249,4846
39,33,34,38,37,206,29,805,CT,69,12902,4847
29,25,24,62,45,201,24,806,CT,144,60868,4848
33,29,27,44,38,202,25,807,CT,194,31862,4849
32,24,20,30,21,186,14,808,CT,39,129779,4850
36,31,30,35,32,199,23,809,CT,272,110366,4851
33,29,25,55,38,200,21,810,CT,13,55564,4852
36,32,29,39,28,197,21,811,NY,686,20175,4872
29,23,21,52,37,192,20,812,NY,482,10686,4883
29,25,21,56,36,198,21,813,PA,1568,10982,4911
35,30,28,37,31,203,24,814,NY,69,27472,4931
36,31,28,35,29,193,20,815,NY,0,18929,4935
33,26,23,40,26,193,18,816,NY,305,10877,4936
33,28,26,38,29,190,21,817,NY,161,25060,4937
46,43,42,47,51,202,45,818,NY,43,28967,4941
27,22,18,45,28,191,16,819,NY,217,17166,4943
36,29,28,30,25,194,21,820,NY,121,11277,4945
30,25,22,44,29,193,18,821,NY,210,10875,4952
40,36,33,63,53,202,40,822,NY,545,18412,4961
31,26,23,44,31,195,21,823,NY,299,17882,4963
34,28,25,34,26,201,19,824,NY,157,33559,4964
37,32,30,34,29,197,23,825,NY,243,15876,4966
30,25,22,56,36,200,21,826,NY,118,12147,4968
40,35,33,37,34,199,27,827,NY,33,11910,4975
32,29,26,57,42,202,26,828,NY,446,31347,4986
34,31,28,47,37,204,26,829,NY,312,10723,4987
34,29,28,36,30,200,22,830,NY,108,10165,4990
27,21,17,45,28,189,14,831,NY,184,11177,5008
32,28,26,58,39,202,24,832,NY,105,15481,5009
36,31,29,59,41,200,29,833,NY,33,10008,5013
32,30,26,66,47,201,26,834,NY,16,26337,5017
28,23,18,58,35,199,18,835,NY,66,10180,5020
36,31,28,34,29,197,23,836,NY,79,60664,5021
26,21,16,70,37,197,16,837,NY,98,31578,5026
35,31,28,35,33,203,27,838,NY,89,34450,5028
34,29,26,38,29,201,21,839,NY,131,36124,5030
38,35,33,41,39,205,31,840,NY,23,22993,5031
35,31,29,40,34,203,26,841,NY,95,39113,5032
39,36,35,43,38,204,31,842,NY,85,27745,5034
23,18,12,83,38,195,12,843,NY,203,26892,5035
33,28,26,34,27,194,20,844,NY,16,14475,5036
38,35,35,44,39,204,32,845,NY,223,20217,5039
34,29,27,33,30,193,24,846,NY,23,22469,5040
35,31,30,44,37,200,28,847,NY,89,24142,5043
27,21,16,53,32,193,16,848,NY,135,18985,5044
30,24,21,49,31,200,19,849,NY,82,10483,5045
25,20,17,56,35,190,16,850,NY,131,12339,5046
26,22,16,56,34,190,15,851,NY,33,12118,5049
30,25,22,34,26,190,18,852,NY,118,13387,5051
39,35,33,39,36,202,29,853,NY,33,17862,5053
35,32,30,52,40,202,29,854,NY,23,17509,5054
31,26,22,50,34,199,20,855,NY,36,18944,5055
38,34,32,47,38,201,29,856,NY,46,11545,5056
36,31,29,40,33,204,25,857,NY,43,11652,5058
25,20,14,64,37,195,15,858,NY,92,13336,5068
39,32,30,39,34,202,26,859,NY,13,13299,5069
25,20,16,66,35,192,14,860,NY,194,14014,5070
31,25,22,44,30,193,20,861,NY,112,19082,5071
32,26,24,42,29,202,21,862,NY,226,13742,5074
28,23,19,61,36,197,18,863,NY,33,13603,5076
33,29,26,43,33,201,23,864,NY,62,20882,5077
34,30,28,53,38,201,25,865,NY,118,27195,5078
35,31,30,51,44,201,33,866,NY,105,19714,5079
41,36,34,44,44,202,36,867,NY,75,18046,5080
33,27,23,42,28,202,18,868,NY,217,33029,5081
34,30,27,54,39,203,25,869,NY,13,18689,5082
35,31,28,54,41,202,28,870,NY,174,17282,5085
31,27,22,57,39,199,23,871,NY,72,20155,5086
27,22,17,55,33,196,17,872,NY,52,14314,5088
28,23,18,51,31,195,19,873,NY,7,12930,5089
47,45,45,62,64,201,51,874,NY,30,15481,5090
37,32,30,40,35,201,27,875,NY,20,16853,5092
32,28,25,53,44,201,28,876,NY,89,19851,5093
30,26,23,50,43,201,26,877,NY,52,27854,5097
30,24,22,39,30,197,21,878,NY,59,26470,5098
30,25,22,47,31,198,19,879,NY,151,13338,5103
28,22,18,53,31,189,17,880,NY,89,13740,5104
33,28,26,38,29,201,21,881,NY,151,11849,5105
34,29,27,49,34,201,23,882,NY,39,43213,5109
37,33,31,39,36,205,30,883,NY,20,28335,5111
34,28,26,30,27,195,22,884,NY,56,11647,5115
32,29,26,52,36,202,26,885,NY,118,11163,5121
33,28,25,28,26,192,21,886,NY,0,27253,5122
34,28,26,28,29,197,23,887,NY,20,11798,5129
36,32,30,45,35,204,27,888,NY,7,12166,5142
33,32,30,75,57,204,34,889,NE,1073,10994,5176
28,24,20,69,44,197,22,890,PA,1037,12414,5180
35,33,33,53,47,203,35,891,OH,1129,29677,5185
34,30,29,39,36,203,27,892,OH,1112,35376,5186
41,39,38,44,43,204,33,893,NY,23,19554,5225
33,29,26,53,38,200,23,894,NY,39,33198,5226
33,26,25,36,30,194,22,895,NY,23,24033,5228
35,31,29,37,30,201,22,896,NY,20,16218,5232
34,29,28,39,29,202,22,897,NY,105,16429,5233
37,33,30,59,41,202,26,898,NY,72,38132,5236
37,30,28,32,27,196,21,899,NY,16,22097,5238
31,27,25,55,36,200,22,900,NY,121,14059,5239
39,33,33,42,36,203,28,901,NY,46,19941,5240
34,29,27,37,31,201,24,902,NY,49,17886,5241
34,30,27,43,32,201,22,903,NY,46,12272,5242
38,35,34,41,36,203,29,904,NY,115,14899,5243
33,30,26,56,38,201,24,905,NY,39,16628,5244
38,34,32,36,33,205,27,906,NY,36,11960,5245
38,33,31,41,35,201,25,907,NY,13,32109,5246
39,35,32,38,36,203,29,908,NY,148,26217,5250
29,23,19,48,29,195,17,909,NY,102,15846,5252
36,30,28,33,29,197,23,910,NY,39,16258,5253
34,31,30,59,41,202,27,911,NY,108,12093,5255
39,34,32,36,32,201,27,912,NY,66,29320,5256
33,27,25,39,31,201,21,913,NY,148,41547,5266
38,36,35,53,41,200,30,914,NY,194,13567,5268
36,31,31,33,31,202,24,915,NY,85,51881,5270
30,25,21,57,35,200,20,916,NY,23,21685,5274
43,38,36,54,46,202,36,917,NY,10,15294,5275
38,33,31,47,40,203,31,918,NY,59,14486,5276
39,35,34,43,39,203,33,919,NY,210,18829,5278
36,30,29,32,30,200,24,920,NY,52,24759,5279
29,24,20,53,36,198,19,921,NY,26,18871,5281
36,30,28,31,28,193,23,922,NY,69,18862,5282
33,27,25,37,30,191,22,923,NY,23,17121,5284
32,27,24,39,31,199,22,924,NY,89,15863,5286
39,35,34,41,37,203,30,925,NY,20,42860,5288
34,29,28,50,35,200,23,926,NY,89,22371,5289
35,30,28,34,30,201,23,927,NY,56,53891,5293
40,34,31,34,32,200,27,928,NY,20,19427,5304
37,31,29,36,34,199,26,929,NY,23,17008,5307
37,31,30,37,34,203,27,930,NY,108,18799,5310
39,34,32,45,42,202,32,931,NY,26,24023,5320
38,33,31,39,35,201,28,932,NY,16,37511,5331
54,52,52,60,66,203,58,933,NY,105,15146,5332
27,21,16,61,36,194,17,934,NJ,92,22083,5375
31,25,22,63,34,195,17,935,PA,1142,11372,5393
28,24,19,70,42,192,20,936,PA,1020,13416,5396
28,24,19,73,44,196,22,937,PA,1083,19229,5397
35,31,27,59,42,204,24,938,PA,499,13229,5398
36,32,30,38,32,200,23,939,PA,423,14257,5400
33,28,27,33,29,200,24,940,WV,755,19746,5405
30,25,22,54,36,199,21,941,PA,33,52983,5408
45,41,41,50,49,202,39,942,NJ,115,15187,5409
36,32,31,42,33,202,25,943,NJ,85,17011,5410
30,25,22,49,31,196,17,944,NJ,79,17795,5411
27,22,17,56,33,199,16,945,NJ,13,23753,5416
32,28,24,59,36,200,20,946,NJ,62,18695,5418
33,29,26,45,33,200,21,947,NJ,30,19265,5423
30,27,23,60,42,200,24,948,NJ,180,13613,5454
35,31,28,45,37,202,26,949,PA,354,12455,5455
37,33,31,41,37,206,26,950,PA,459,12624,5457
35,31,29,37,36,203,28,951,PA,200,19936,5464
32,26,24,40,27,199,19,952,PA,269,15726,5471
39,36,37,55,49,202,35,953,PA,515,12875,5509
37,34,34,42,40,203,32,954,WV,666,28486,5510
32,29,27,52,44,202,31,955,NJ,89,11223,5517
36,32,31,51,37,204,24,956,NJ,102,10133,5522
40,36,33,53,40,202,26,957,NJ,72,53805,5533
40,37,35,45,42,205,33,958,NJ,20,88791,5536
31,27,22,62,37,201,20,959,PA,354,10789,5549
41,37,36,49,45,202,35,960,PA,243,28043,5550
34,30,28,46,39,202,29,961,NJ,144,15567,5567
35,33,31,64,56,202,39,962,DE,69,19371,5568
38,38,38,74,66,204,44,963,DE,79,14353,5569
37,34,34,49,43,205,30,964,DE,72,14303,5571
36,32,30,45,37,205,27,965,DE,259,13527,5573
36,31,29,38,33,201,23,966,DE,125,31454,5578
38,34,32,46,34,204,25,967,DE,92,70851,5579
39,36,36,49,41,204,30,968,DE,69,18871,5581
30,28,23,73,45,199,21,969,NJ,10,11888,5593
35,30,26,47,34,202,24,970,MD,604,10701,5606
40,34,31,38,32,201,27,971,MD,538,39662,5613
38,34,33,52,47,203,34,972,MD,627,20859,5621
33,29,26,55,40,203,26,973,MD,26,15443,5635
35,30,27,34,29,195,20,974,WV,889,29660,5647
30,26,22,62,43,196,22,975,MD,52,25562,5661
24,20,16,70,36,191,12,976,MD,239,12616,5665
36,33,33,53,42,205,29,977,MD,79,14959,5666
29,23,19,51,28,194,15,978,MD,39,12952,5667
43,41,42,50,47,204,34,979,MD,387,10120,5668
35,33,31,59,45,204,29,980,MD,39,39262,5675
29,24,21,58,35,196,19,981,MD,154,20483,5676
37,33,33,58,42,203,30,982,MD,354,29941,5678
36,30,29,32,27,195,22,983,MD,479,41567,5679
41,39,39,51,45,202,35,984,MD,308,20776,5680
34,31,28,53,38,202,26,985,MD,16,63597,5681
28,23,19,54,33,194,17,986,MD,30,25191,5682
42,41,42,59,54,203,41,987,MD,226,12275,5683
35,30,28,36,31,183,24,988,MD,499,30622,5684
39,38,36,56,46,201,33,989,MD,331,30734,5685
37,33,32,43,40,200,32,990,MD,253,28474,5686
29,26,22,59,37,198,20,991,MD,505,30764,5687
37,36,35,57,48,201,33,992,MD,581,32430,5688
33,28,26,33,27,194,18,993,MD,725,25968,5689
35,33,31,63,45,202,29,994,MD,20,19257,5690
33,30,28,50,36,202,24,995,MD,413,25333,5694
32,26,23,31,23,192,17,996,MD,463,55197,5695
35,34,32,53,44,200,30,997,MD,338,37879,5697
38,34,33,42,30,199,22,998,MD,643,30531,5698
41,36,36,43,33,199,26,999,MD,715,18590,5701
39,34,33,41,31,199,25,1000,MD,285,65239,5710
32,26,24,29,26,187,20,1001,WV,984,18704,5732
36,32,30,43,36,204,25,1002,WV,453,17227,5742
38,35,35,46,45,203,38,1003,WV,994,16578,5767
40,35,32,47,41,203,30,1004,WV,614,31492,5786
37,35,33,55,44,205,33,1005,WV,636,10749,5787
28,22,18,58,33,193,18,1006,MD,95,15593,5801
33,26,24,33,30,196,22,1007,MD,157,65834,5802
30,25,21,50,32,198,18,1008,MD,407,99615,5803
35,32,28,53,38,204,23,1009,DE,30,36047,5810
39,36,34,53,41,204,28,1010,DE,33,10023,5820
35,30,28,42,31,200,23,1011,MD,328,48759,5825
31,26,23,44,31,199,19,1012,MD,318,60858,5826
29,25,22,65,43,197,21,1013,MD,413,17724,5829
29,25,22,47,33,193,19,1014,MD,663,13766,5830
37,32,31,39,30,200,21,1015,MD,436,14647,5831
39,37,37,51,39,200,27,1016,MD,827,15257,5832
27,22,19,69,41,192,20,1017,MD,374,32032,5834
26,21,17,76,44,192,21,1018,MD,259,24410,5835
33,30,27,49,36,203,23,1019,MD,541,33844,5836
36,31,29,37,31,194,21,1020,MD,358,44965,5837
35,31,29,42,31,200,21,1021,MD,492,17242,5838
31,29,27,58,39,195,22,1022,MD,440,86395,5840
26,20,17,53,31,192,15,1023,MD,335,12564,5842
35,30,29,34,31,195,26,1024,MD,338,71452,5845
27,22,18,63,33,192,16,1025,MD,351,12159,5846
28,25,21,86,45,195,20,1026,MD,371,17403,5847
34,29,26,30,24,195,18,1027,MD,502,59933,5848
35,33,31,49,37,202,27,1028,MD,449,61209,5849
32,26,24,44,28,190,18,1029,MD,289,16715,5850
33,28,24,45,28,196,17,1030,VA,338,42616,5872
35,33,33,57,49,202,34,1031,OH,840,10497,5880
30,26,22,57,36,197,21,1032,MD,79,16746,5906
27,22,18,66,38,193,18,1033,MD,135,23106,5907
26,21,18,55,33,192,17,1034,MD,102,27348,5909
42,39,40,54,46,200,35,1035,MD,154,37132,5912
31,26,23,55,38,198,20,1036,MD,66,15922,5913
26,20,15,65,36,193,15,1037,MD,82,24287,5914
27,23,18,63,36,196,18,1038,MD,10,12677,5916
31,29,24,83,48,200,23,1039,MD,56,67639,5917
30,23,20,40,24,190,15,1040,MD,56,19477,5920
29,25,20,58,35,194,19,1041,MD,135,10324,5921
30,28,23,65,39,197,21,1042,MD,213,16093,5922
29,24,21,52,34,196,21,1043,MD,157,44231,5925
34,31,30,58,53,202,35,1044,MD,39,37634,5926
32,30,30,55,40,202,26,1045,MD,43,38394,5928
42,38,38,54,52,200,43,1046,MD,279,12353,5942
25,21,17,66,39,193,17,1047,MD,190,10573,5943
30,24,22,51,31,193,18,1048,MD,171,15086,5944
37,33,32,47,38,204,27,1049,MD,135,16772,5945
29,26,21,55,40,200,22,1050,MD,266,19096,5947
35,32,30,51,39,204,29,1051,MD,148,33513,5948
37,35,35,48,37,201,28,1052,MD,249,35970,5949
28,24,21,59,40,193,23,1053,MD,108,10967,5951
30,26,23,53,35,197,20,1054,MD,223,10697,5952
29,25,19,65,38,195,18,1055,MD,105,23717,5953
26,22,19,60,39,192,19,1056,MD,115,13466,5955
32,28,24,60,38,198,20,1057,MD,56,23078,5956
36,32,30,52,39,199,25,1058,MD,276,16469,5957
30,25,22,53,35,197,21,1059,MD,135,12790,5958
30,26,22,55,35,199,22,1060,MD,151,18755,5959
28,24,20,60,41,196,21,1061,MD,174,10709,5960
26,19,13,45,22,192,10,1062,MD,141,54727,5970
36,35,33,55,44,202,31,1063,MD,69,30413,5971
27,22,17,51,33,192,15,1064,MD,157,23068,5974
29,24,20,45,28,193,17,1065,MD,105,17557,5975
37,34,32,47,36,200,26,1066,MD,167,25115,5976
30,26,23,66,43,194,23,1067,MD,75,12135,5978
26,22,20,60,43,193,21,1068,VA,33,16045,6010
36,32,31,43,36,200,26,1069,VA,361,41008,6011
36,35,35,56,51,200,36,1070,VA,253,23643,6012
33,32,30,50,39,200,25,1071,VA,253,41055,6014
28,24,21,61,37,194,18,1072,VA,351,71135,6015
39,37,38,45,42,203,32,1073,VA,318,23039,6016
38,33,32,42,37,200,29,1074,VA,285,48115,6018
36,31,30,37,30,196,23,1075,VA,361,15212,6019
32,29,28,52,49,202,29,1076,VA,79,12416,6020
30,25,24,56,38,199,22,1077,VA,115,12943,6021
34,29,28,39,31,199,21,1078,VA,417,34166,6023
30,27,26,57,43,196,29,1079,VA,328,58404,6025
31,28,27,64,48,200,28,1080,VA,236,20226,6026
35,30,27,40,31,201,23,1081,VA,249,18245,6027
28,24,20,59,37,197,19,1082,VA,341,15427,6028
30,26,23,59,39,198,23,1083,VA,197,14598,6029
30,25,22,58,38,196,21,1084,VA,62,11267,6030
34,30,28,48,41,202,29,1085,VA,33,15801,6031
29,24,21,56,38,196,20,1086,VA,459,17288,6032
37,33,33,37,32,200,26,1087,VA,246,22855,6034
32,30,27,56,41,200,26,1088,VA,141,18610,6035
36,32,32,42,37,202,27,1089,VA,358,23292,6037
31,28,25,53,39,197,25,1090,VA,246,30484,6039
35,31,30,48,33,199,23,1091,VA,486,19627,6040
26,21,17,54,35,193,17,1092,VA,276,22460,6041
28,22,18,52,27,192,15,1093,VA,282,16131,6042
38,35,34,52,44,203,33,1094,VA,564,14440,6045
30,25,19,79,40,193,18,1095,DC,23,601723,6060
46,42,42,59,48,202,32,1096,MD,36,15945,6089
26,19,14,51,27,191,11,1097,VA,282,14983,6093
32,29,26,61,45,202,29,1098,VA,233,65969,6094
27,23,18,66,39,195,18,1099,VA,141,19570,6095
33,30,28,49,38,201,27,1100,VA,358,11481,6098
27,22,17,62,35,197,16,1101,VA,272,41058,6099
27,22,19,51,40,194,21,1102,VA,246,35725,6100
28,24,21,65,41,195,21,1103,VA,207,16203,6104
34,29,27,43,33,199,20,1104,VA,233,207627,6112
35,29,28,38,32,191,24,1105,VA,338,29207,6117
29,24,21,57,36,197,20,1106,MO,472,16645,6119
39,36,36,50,48,202,35,1107,MO,604,28380,6120
30,25,22,44,32,200,19,1108,MO,600,36143,6121
30,26,22,62,40,197,21,1109,MO,541,19650,6123
33,29,27,34,30,199,22,1110,MO,617,20307,6124
40,36,37,47,47,202,37,1111,MO,623,16421,6126
37,36,34,71,58,200,37,1112,MO,584,11550,6129
39,37,37,52,45,203,33,1113,MD,20,12326,6165
35,30,29,37,32,200,25,1114,VA,423,16379,6169
26,20,16,43,34,190,13,1115,MD,200,11923,6171
27,20,16,49,34,191,16,1116,MD,210,67752,6175
36,31,30,36,35,200,26,1117,WV,597,51400,6196
51,52,53,64,75,204,61,1118,WV,604,13450,6200
36,33,33,47,42,205,33,1119,WV,610,11044,6201
29,26,21,57,39,200,22,1120,WV,564,49138,6211
35,28,27,32,27,197,20,1121,MD,23,30343,6219
27,23,18,64,36,192,16,1122,MD,98,11857,6228
36,38,37,72,65,202,44,1123,MD,118,11626,6231
27,22,15,65,30,189,13,1124,MD,7,11710,6252
27,22,21,54,56,192,32,1125,MO,1040,15061,6339
31,25,24,61,44,199,25,1126,VA,167,36348,6340
41,37,35,41,30,200,25,1127,WV,2421,17614,6350
30,26,23,50,33,195,20,1128,VA,764,11285,6372
31,26,23,62,41,195,22,1129,VA,200,14796,6388
31,28,24,68,52,199,28,1130,VA,200,14774,6390
39,35,33,46,39,200,28,1131,VA,171,15711,6391
30,25,22,55,40,196,20,1132,VA,177,11849,6392
29,25,22,52,37,199,23,1133,VA,220,16713,6393
36,32,29,55,43,201,27,1134,VA,292,24729,6394
27,22,20,59,37,192,16,1135,VA,220,44990,6395
38,36,36,44,46,201,36,1136,WV,2572,10447,6401
27,23,20,56,39,193,20,1137,VA,322,16366,6409
30,26,23,57,37,200,22,1138,VA,174,20987,6410
29,24,21,50,36,197,21,1139,VA,915,12183,6437
26,20,16,41,31,189,16,1140,VA,1099,24922,6440
28,24,20,52,43,191,23,1141,VA,1112,14673,6441
31,25,22,28,24,192,18,1142,VA,2077,42620,6446
38,35,34,54,47,202,35,1143,VA,2093,21041,6447
34,30,30,33,27,203,22,1144,MN,1493,16361,6594
33,31,28,47,39,202,28,1145,MN,1368,13431,6600
34,30,28,34,32,202,27,1146,MN,1217,13590,6644
34,32,32,46,36,200,28,1147,MN,1207,12124,6646
38,35,34,39,37,205,27,1148,MN,1407,11070,6680
36,33,33,43,40,201,31,1149,MN,938,10060,6701
36,32,32,40,36,203,28,1150,MN,925,15453,6703
32,28,27,50,34,200,22,1151,MN,922,19496,6712
25,22,16,62,32,193,15,1152,MN,860,61476,6714
31,28,27,49,47,200,33,1153,MN,889,30598,6716
36,33,33,38,34,201,27,1154,MN,879,17142,6717
33,30,30,41,28,200,21,1155,MN,906,57186,6719
25,22,17,65,43,195,22,1156,MN,899,15296,6720
29,25,21,55,35,199,20,1157,MN,814,34589,6735
33,30,28,46,41,201,29,1158,MN,932,13332,6739
35,32,31,41,36,200,27,1159,MN,892,22151,6745
31,28,24,59,40,200,23,1160,MN,853,23089,6746
35,32,31,42,32,187,24,1161,MN,827,82893,6747
28,23,21,56,38,195,21,1162,MN,1030,17591,6749
31,28,26,57,41,203,25,1163,MN,1060,14178,6756
29,27,25,50,37,197,23,1164,MN,974,22952,6759
41,39,39,46,44,201,36,1165,MN,732,23770,6760
33,30,29,62,43,199,27,1166,MN,971,60306,6766
37,34,35,41,37,200,29,1167,MN,955,49084,6768
38,38,39,59,53,202,37,1168,MN,722,22172,6770
38,38,41,49,56,204,46,1169,MN,1247,18016,6824
42,44,48,56,58,204,41,1170,MN,1204,24718,6830
34,31,29,53,40,202,27,1171,MI,860,23925,6924
33,31,28,62,45,203,28,1172,IA,879,39260,6946
40,37,38,49,49,205,39,1173,IL,915,40743,6969
30,28,26,65,47,200,27,1174,IL,784,25585,6971
31,28,27,61,46,199,28,1175,IL,699,29763,6973
40,39,40,53,53,203,43,1176,IA,1135,12661,7012
28,24,19,72,38,199,18,1177,IA,942,58965,7019
40,38,39,50,47,203,35,1178,IL,620,28925,7022
37,34,32,48,44,204,31,1179,IL,591,37042,7023
37,33,32,46,45,203,34,1180,IL,659,30276,7024
33,31,28,72,48,200,25,1181,IL,682,16541,7025
35,30,28,32,31,199,25,1182,IL,617,56657,7027
35,31,29,60,46,202,29,1183,IL,640,23706,7028
38,35,35,43,43,202,34,1184,IL,604,25282,7029
30,25,22,61,41,199,25,1185,IL,679,14049,7030
28,23,20,56,32,197,17,1186,IL,633,58364,7032
37,36,36,50,49,203,37,1187,IL,879,43862,7033
37,35,35,45,40,206,31,1188,IL,679,197899,7034
34,31,30,56,44,202,30,1189,IL,715,26045,7035
43,44,46,60,59,203,42,1190,IL,758,22086,7045
33,29,25,59,42,201,28,1191,OH,669,19124,7046
28,23,19,60,34,196,18,1192,IL,682,15733,7051
29,26,22,71,42,199,21,1193,IA,833,15447,7063
41,40,40,57,56,204,42,1194,IA,955,14541,7065
40,39,40,55,50,204,38,1195,IA,994,45582,7066
34,33,32,63,53,204,34,1196,IA,873,203433,7069
33,28,27,66,53,201,33,1197,IA,682,18907,7076
43,43,47,67,71,203,53,1198,IA,568,33217,7079
41,37,37,40,40,200,33,1199,IA,591,99685,7081
26,23,18,55,34,196,17,1200,IL,643,20837,7088
37,35,34,47,41,203,31,1201,IN,732,27317,7091
30,26,23,48,38,200,24,1202,IN,600,80830,7092
33,28,27,30,30,203,25,1203,IN,623,29059,7093
32,28,26,54,41,202,26,1204,IN,866,12731,7100
39,38,39,51,50,204,37,1205,IA,988,62230,7117
37,34,34,48,45,203,34,1206,OH,676,16494,7133
32,29,28,64,45,201,28,1207,OH,1066,22262,7138
34,32,31,71,56,202,33,1208,NE,1033,50137,7142
37,34,33,45,42,204,33,1209,IA,607,25663,7164
36,35,34,57,48,205,34,1210,IN,748,17391,7169
45,45,45,57,59,202,44,1211,OH,994,12362,7170
39,38,37,50,47,204,37,1212,IL,797,76610,7207
45,43,43,54,48,205,38,1213,OH,873,10400,7210
36,31,31,35,38,199,30,1214,IL,646,14704,7212
34,31,30,51,41,202,30,1215,OH,892,12826,7217
35,30,28,42,33,202,25,1216,OH,1243,13370,7233
37,34,34,48,44,201,33,1217,IL,600,33027,7235
44,41,43,50,51,202,42,1218,OH,869,34753,7237
38,32,30,33,32,197,26,1219,IL,738,81055,7239
39,37,37,49,54,206,42,1220,IN,879,56129,7242
33,30,26,64,43,201,25,1221,OH,814,10635,7259
30,27,22,70,40,201,21,1222,IN,853,79191,7260
33,30,26,76,49,201,28,1223,IN,794,15915,7261
38,34,34,53,44,205,32,1224,OH,846,35575,7264
31,28,25,46,35,201,22,1225,OH,932,28435,7265
40,38,38,48,45,202,37,1226,IL,676,76122,7269
37,30,29,33,28,192,21,1227,MO,502,17916,7306
40,39,39,52,46,204,34,1228,IN,804,14192,7307
32,28,26,40,34,202,25,1229,OH,1020,23999,7308
31,29,26,67,49,200,29,1230,OH,876,45193,7312
35,30,29,36,29,202,23,1231,OH,696,13314,7317
36,34,33,59,52,205,36,1232,IN,823,13481,7318
37,35,35,51,50,204,37,1233,IL,673,21838,7324
31,29,25,78,46,203,25,1234,IN,804,49791,7332
38,34,35,42,41,204,32,1235,OH,718,23832,7355
34,30,28,39,34,205,26,1236,OH,633,21901,7369
34,31,29,47,40,199,28,1237,IN,771,80405,7376
34,31,29,45,43,204,32,1238,IN,627,44061,7377
41,37,37,45,43,206,34,1239,MO,709,108500,7391
29,26,23,69,47,202,25,1240,MO,974,52575,7396
44,41,42,47,43,203,35,1241,IL,561,25579,7423
43,42,45,57,60,202,44,1242,IL,495,27865,7424
39,36,35,49,45,205,36,1243,IN,686,13413,7426
34,33,30,72,53,201,28,1244,MO,614,11494,7428
25,21,16,62,36,192,16,1245,MO,568,15939,7439
36,33,31,48,45,204,29,1246,MO,620,11912,7442
26,20,17,45,31,191,14,1247,MO,604,17833,7443
33,31,30,54,46,199,27,1248,MO,472,47484,7446
58,64,72,81,80,203,59,1249,MO,630,30404,7447
28,25,19,81,52,195,24,1250,MO,459,10860,7449
32,28,26,55,37,201,22,1251,MO,561,25703,7453
44,42,43,53,57,205,49,1252,MO,1106,23116,7463
38,35,34,48,46,206,37,1253,MO,958,10019,7464
28,24,21,53,39,199,23,1254,IL,492,13032,7465
32,27,25,40,32,198,23,1255,IL,515,44478,7486
39,36,36,48,48,202,38,1256,MO,600,20808,7506
31,29,28,56,48,201,31,1257,KS,1352,11791,7546
36,35,35,54,48,203,36,1258,IL,413,25902,7560
36,34,34,58,48,204,33,1259,KS,1260,10826,7568
31,28,26,67,52,200,28,1260,KS,1293,22158,7569
41,38,38,45,49,205,39,1261,IL,420,12501,7576
50,49,49,56,50,205,41,1262,MO,1056,10325,7578
37,35,35,42,41,204,33,1263,MO,354,37941,7598
31,27,24,44,30,200,19,1264,MO,1004,14378,7629
37,36,34,61,50,204,32,1265,MO,774,10520,7659
37,31,31,36,30,187,23,1266,MN,702,86265,7685
38,36,37,46,46,205,37,1267,MN,1289,10869,7714
37,34,33,38,36,206,28,1268,MN,902,38065,7731
36,34,33,41,42,204,33,1269,MN,1181,13138,7747
34,32,34,45,44,203,35,1270,MN,899,10125,7790
34,29,30,35,32,200,24,1271,MN,896,22974,7794
40,40,41,49,51,204,42,1272,MN,928,12759,7795
29,27,29,64,56,195,33,1273,MN,909,11626,7797
36,31,30,37,32,201,27,1274,MN,860,27208,7798
39,36,38,44,43,201,36,1275,MN,912,18375,7808
31,28,26,49,37,200,24,1276,MN,1070,27378,7813
