B1,B2,B3,B4,B5,B6_VCID_2,B7,system:index,STATE,ELEV_IN_FT,POP_2010,id
36,34,33,43,39,205,31,414,MA,46,60879,2450
26,22,16,78,45,199,18,415,MA,23,26493,2453
28,23,19,56,30,192,17,416,MA,89,11596,2456
30,25,21,44,25,191,15,417,MA,59,19808,2457
40,40,41,48,51,204,41,418,WI,1056,10827,2464
34,33,31,72,54,202,33,419,WI,837,63575,2467
42,42,43,53,54,203,43,420,WI,751,36966,2471
43,43,44,51,53,202,40,421,WI,823,14390,2476
39,40,39,75,65,201,42,422,WI,1033,10084,2480
33,30,27,51,42,202,27,423,WI,768,10464,2491
42,42,43,52,53,202,38,424,WI,623,78860,2493
38,35,33,50,41,203,31,425,NY,30,10254,2495
38,37,37,50,50,205,36,426,SD,1621,22056,2506
50,49,49,53,63,202,53,427,MI,1306,10355,2512
38,34,32,45,40,205,32,428,ME,62,15175,2549
36,33,33,42,40,205,30,429,WI,669,51320,2577
33,32,31,63,53,202,35,430,WI,715,17736,2579
38,36,35,44,40,205,31,431,MI,594,34932,2583
44,43,44,51,46,203,36,432,WI,892,11340,2600
35,32,31,44,37,201,27,433,WI,761,43021,2603
43,42,42,64,58,201,41,434,WI,630,49288,2628
36,33,31,42,34,203,28,435,VT,646,16495,2632
40,42,44,57,57,204,47,436,SD,1312,15254,2642
28,25,22,67,41,201,21,437,SD,1473,153888,2648
36,34,33,53,45,202,34,438,MI,627,41863,2660
36,33,33,48,41,204,30,439,MI,771,26016,2663
35,31,30,41,50,203,42,440,MI,928,10601,2678
38,34,33,40,38,203,30,441,NH,502,15951,2683
38,35,35,45,40,202,29,442,WI,791,10324,2712
31,26,24,40,30,199,20,443,WI,889,12048,2720
32,28,26,43,31,200,22,444,WI,879,16214,2738
34,29,27,36,33,200,25,445,NY,456,62235,2746
37,33,32,41,37,202,29,446,NH,272,42695,2747
41,40,42,52,52,202,40,447,OH,1066,20362,2751
35,32,31,37,35,201,28,448,OH,1168,10512,2752
32,25,23,25,21,199,17,449,PA,627,14324,2775
