,distance,mean
0,0.0,99.24309392265185
1,2783.30340498417,91.4869897776825
2,5566.60680996834,87.38386623223172
3,8349.91021495251,82.97272984842049
4,11133.21361993668,78.09388091231342
5,13916.51702492085,76.22467771639046
6,16699.82042990502,71.88237186360715
7,19483.12383488919,67.50056765770239
8,22266.42723987336,64.64015897454259
9,25049.73064485753,62.54108230627569
10,27833.0340498417,61.35611729743278
11,30616.33745482587,63.76239552344523
12,33399.64085981004,66.9011421819614
13,36182.944264794205,67.9317183737073
14,38966.24766977838,69.9397218477258
15,41749.55107476255,74.14597729958103
16,44532.85447974672,77.50805364365283
17,47316.157884730885,79.57370024082724
18,50099.46128971506,80.77084750617644
19,52882.76469469923,83.62676506066842
20,55666.0680996834,85.39544454693818
21,58449.371504667564,88.94507911729227
22,61232.67490965174,93.48742739764837
23,64015.97831463591,95.52107128790864
24,66799.28171962008,97.22184772582132
25,69582.58512460424,98.3526218690129
26,72365.88852958841,101.67608032356492
27,75149.19193457259,104.0504150996949
28,77932.49533955676,106.52753139856665
29,80715.79874454092,127.98761796636623
30,83499.1021495251,159.83388916483355
31,86282.40555450927,131.11410566790093
32,89065.70895949344,141.95849003051157
33,91849.0123644776,159.06801248846952
34,94632.31576946177,458.69389058397775
35,97415.61917444595,532.9253547410299
36,100198.92257943012,576.1106577733628
37,102982.22598441428,598.9065081173453
38,105765.52938939846,771.1892783651456
39,108548.83279438263,955.5771659689216
40,111332.1361993668,1051.137204376986
41,114115.43960435096,1231.9686014333356
42,116898.74300933513,1416.9317036826797
43,119682.04641431931,1580.8322273208619
44,122465.34981930348,1838.3605720122555
45,125248.65322428764,2184.70180453199
46,128031.95662927182,2372.99808928261
47,130815.26003425599,2337.9835985822488
48,133598.56343924016,2517.7907569391814
49,136381.86684422434,2496.123288623249
50,139165.1702492085,2751.834217232588
51,141948.47365419267,2797.586072694416
52,144731.77705917682,2382.270140698279
53,147515.080464161,2281.743662165884
54,150298.38386914518,2281.752162584679
55,153081.68727412933,2401.1854505373367
56,155864.9906791135,2952.8432830634492
57,158648.2940840977,3323.366657483295
58,161431.59748908185,3541.8873792480363
59,164214.90089406603,3295.7738897769104
60,166998.2042990502,3450.271527969135
61,169781.50770403436,3505.674691679694
62,172564.81110901854,3361.396011297877
63,175348.1145140027,3572.005177566192
64,178131.41791898687,2710.67181041609
65,180914.72132397105,1860.0734936409724
66,183698.0247289552,1626.4581624852315
67,186481.3281339394,1436.2568889501233
68,189264.63153892354,1259.2474807144322
69,192047.93494390772,1170.7864425461548
70,194831.2383488919,1138.3039127110974
71,197614.54175387605,1135.1648525764658
72,200397.84515886023,1261.9989922857726
73,203181.1485638444,2203.064937301914
74,205964.45196882857,2961.403016192924
75,208747.75537381275,2388.3358363185416
76,211531.05877879693,1944.3444645215072
77,214314.36218378108,1398.4501355201874
78,217097.66558876526,430.7324996555044
79,219880.9689937494,335.91681145319325
80,222664.2723987336,329.1234844309725
81,225447.57580371777,328.919537033818
82,228230.87920870192,340.1264122347751
83,231014.1826136861,435.42303013451
84,233797.48601867026,776.0488426563786
85,236580.78942365444,1118.8426540613802
86,239364.09282863862,1059.9258060071636
87,242147.39623362277,1252.570991623509
88,244930.69963860695,1242.7897202700829
89,247714.00304359113,1470.6386128292434
90,250497.30644857528,1723.7804878048748
91,253280.60985355946,1794.830558548537
92,256063.91325854365,1781.007922292643
93,258847.2166635278,1403.4502797956272
94,261630.52006851198,1172.0509852556143
95,264413.82347349613,753.9117166591349
96,267197.1268784803,342.0719206392942
97,269980.4302834645,66.40401793472587
98,272763.7336884487,36.768947223370525
99,275547.0370934328,31.881801835904202
